City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
35,dolores hidalgo,21.1561,-100.9308,17.66,24,1,5.75,MX,1674610534
36,hakkari,37.5833,44.1667,-14.12,85,20,0.0,TR,1674610534
37,port hardy,50.6996,-127.4199,6.1,100,100,0.0,CA,1674610535
38,qaanaaq,77.484,-69.3632,-20.47,62,85,4.34,GL,1674610535
39,hailey,43.5196,-114.3153,-11.08,92,40,0.0,US,1674610536
40,lazaro cardenas,17.9583,-102.2,23.72,67,0,2.71,MX,1674610536
41,tuktoyaktuk,69.4541,-133.0374,-20.0,77,100,7.2,CA,1674610536
42,ketchikan,55.3422,-131.6461,7.26,100,100,5.66,US,1674610537
43,georgetown,5.4112,100.3354,26.8,88,20,1.03,MY,1674610537
44,arraial do cabo,-22.9661,-42.0278,24.05,88,100,3.56,BR,1674610538
45,bhadrachalam,17.6667,80.8833,17.1,87,23,0.53,IN,1674610538
46,nagato,34.3833,131.2,0.49,60,100,6.34,JP,1674610539
47,cape town,-33.9258,18.4232,16.16,65,0,4.02,ZA,1674610539
48,frontera,26.9333,-101.45,13.2,14,0,4.87,MX,1674610540
49,ribeira grande,38.5167,-28.7,14.87,87,9,1.79,PT,1674610540
50,albany,42.6001,-73.9662,1.23,77,38,3.27,US,1674610428
51,graaff-reinet,-32.2522,24.5308,14.96,86,100,4.14,ZA,1674610541
52,yellowknife,62.456,-114.3525,-15.71,85,40,1.03,CA,1674610511
53,dingle,10.9995,122.6711,26.26,80,48,9.09,PH,1674610541
54,ilulissat,69.2167,-51.1,-7.99,67,100,3.6,GL,1674610542
55,evensk,61.95,159.2333,-12.33,78,100,11.07,RU,1674610542
56,renfrew,55.872,-4.3925,10.29,89,100,6.17,GB,1674610543
57,vaini,-21.2,-175.2,30.09,74,20,3.09,TO,1674610543
58,ponta do sol,32.6667,-17.1,16.35,50,0,4.05,PT,1674609958
59,carnduff,49.1667,-101.8009,-15.35,100,74,2.22,CA,1674610544
60,nemuro,43.3236,145.575,-10.59,62,26,13.25,JP,1674610545
61,griffith,41.5284,-87.4237,1.17,85,100,3.6,US,1674610545
62,ushtobe,45.2514,77.9838,-16.62,94,41,1.26,KZ,1674610545
63,busselton,-33.65,115.3333,22.96,40,3,5.0,AU,1674610546
64,khatanga,71.9667,102.5,-32.96,86,100,1.74,RU,1674610546
65,fangshan,39.6983,115.9925,-9.53,14,28,0.68,CN,1674610547
66,new norfolk,-42.7826,147.0587,25.72,33,97,1.71,AU,1674610547
67,avarua,-21.2078,-159.775,29.03,74,27,3.09,CK,1674610548
68,bonavista,48.6499,-53.1147,0.28,81,8,8.77,CA,1674610548
69,ardalstangen,61.2371,7.6983,7.44,100,100,2.83,NO,1674610549
70,saint-augustin,51.226,-58.6502,-5.32,75,99,6.17,CA,1674610549
71,castro,-24.7911,-50.0119,17.98,62,1,2.01,BR,1674610550
72,lompoc,34.6391,-120.4579,16.08,62,20,2.57,US,1674610350
73,sinnamary,5.3833,-52.95,23.86,80,0,4.6,GF,1674609950
74,kazachinskoye,57.6953,93.2761,-15.32,98,100,1.25,RU,1674610550
75,port elizabeth,-33.918,25.5701,18.16,78,0,5.66,ZA,1674610551
76,mahebourg,-20.4081,57.7,22.92,100,75,1.54,MU,1674609966
77,chokurdakh,70.6333,147.9167,-31.84,96,100,1.06,RU,1674610014
78,pevek,69.7008,170.3133,-25.94,77,58,0.62,RU,1674610552
79,naco,31.3347,-109.9483,5.01,48,0,3.06,MX,1674610552
80,saskylakh,71.9167,114.0833,-26.68,100,100,1.49,RU,1674610553
81,bredasdorp,-34.5322,20.0403,13.82,63,2,1.26,ZA,1674610553
82,labuan,5.2767,115.2417,26.2,89,40,0.0,MY,1674610554
83,sao joao da barra,-21.6403,-41.0511,22.93,97,100,3.53,BR,1674610554
84,moron,-34.6534,-58.6198,29.88,47,61,1.78,AR,1674610555
85,dikson,73.5069,80.5464,-18.67,94,100,13.15,RU,1674610555
86,mataura,-46.1927,168.8643,23.73,33,22,1.52,NZ,1674610555
87,padang,-0.9492,100.3543,24.03,67,100,1.02,ID,1674610556
88,gobabis,-22.45,18.9667,20.88,44,15,3.9,NA,1674610556
89,burns lake,54.2331,-125.7533,-2.32,99,100,1.41,CA,1674610507
90,glasgow,55.8652,-4.2576,10.11,89,100,6.17,GB,1674610374
91,alexandria,31.2156,29.9553,13.3,69,0,4.23,EG,1674610557
92,henties bay,-22.116,14.2845,17.9,85,31,4.27,NA,1674610558
93,ambulu,-8.345,113.6058,28.32,75,86,0.8,ID,1674610558
94,kalininsk,51.5,44.4758,-13.35,91,12,1.49,RU,1674610559
95,hasaki,35.7333,140.8333,0.16,39,52,11.58,JP,1674610559
96,jamestown,42.097,-79.2353,-3.03,93,0,0.45,US,1674610559
97,okhotsk,59.3833,143.3,-18.37,96,100,6.28,RU,1674610560
98,mantsala,60.6609,25.2838,0.94,99,100,3.82,FI,1674610561
99,port alfred,-33.5906,26.891,18.43,79,100,1.79,ZA,1674610561
100,bubaque,11.2833,-15.8333,23.43,82,100,6.4,GW,1674610562
101,jalu,29.0331,21.5482,11.94,61,0,4.84,LY,1674609979
102,slantsy,59.1182,28.0914,-0.39,96,100,3.87,RU,1674610563
103,chuy,-33.6971,-53.4616,19.39,67,66,2.83,UY,1674610563
104,fortuna,40.5982,-124.1573,13.19,82,0,0.0,US,1674610564
105,mandalgovi,45.7625,106.2708,-17.41,60,100,5.11,MN,1674610565
106,portland,45.5234,-122.6762,9.23,79,75,2.57,US,1674610518
107,vestmannaeyjar,63.4427,-20.2734,3.16,77,100,17.31,IS,1674610565
108,yumen,40.2833,97.2,-12.04,45,100,9.12,CN,1674610566
109,vanimo,-2.6741,141.3028,29.25,66,100,1.73,PG,1674610000
110,taltal,-25.4,-70.4833,20.59,84,32,1.22,CL,1674610567
111,monterey,36.2505,-121.2516,9.95,50,8,1.14,US,1674610542
112,bengkulu,-3.8004,102.2655,25.23,83,100,1.92,ID,1674610568
113,vanavara,60.34,102.2797,-43.16,100,97,0.77,RU,1674610568
114,oistins,13.0667,-59.5333,25.05,78,40,7.72,BB,1674610568
115,biak,-0.9131,122.8766,24.73,86,100,0.63,ID,1674610569
116,zhongshu,24.5167,103.7667,5.73,71,100,4.06,CN,1674610570
117,burnie,-41.0667,145.9167,22.19,69,63,4.14,AU,1674610354
118,kimbe,-5.5502,150.1429,27.07,85,100,1.27,PG,1674610570
119,kodiak,57.79,-152.4072,3.73,93,100,2.57,US,1674610571
120,kochubey,44.3861,46.5825,-0.96,82,4,5.11,RU,1674610571
121,corowa,-36.0333,146.3833,29.67,40,0,3.32,AU,1674610572
122,grindavik,63.8424,-22.4338,1.97,86,100,18.01,IS,1674610572
